,Site,Configuration,rmse_Qle,mbe_Qle,d_Qle,rmse_Qh,mbe_Qh,d_Qh
0,Amplero,"['simplExp', 'exponential', 'Jarvis']",151.41755009740297,-27.97146785536675,0.6154586679428526,123.4471727486638,-15.45864132047082,0.8951930200146481
1,Amplero,"['simplExp', 'exponential', 'BallBerry']",143.00988136087815,-27.104298077422026,0.8216853178851811,126.18998137428798,-16.192109294547205,0.8306355974288391
2,Amplero,"['simplExp', 'logBelowCanopy', 'Jarvis']",151.41664144107838,-27.986737266339244,0.5428563917633193,123.42470833500083,-15.451101499930761,0.8400907421241682
3,Amplero,"['difTrans', 'logBelowCanopy', 'Jarvis']",151.26797856187142,-27.96883844385618,0.5929685725242311,123.75343134475708,-15.366431443481812,0.9278254421426065
4,Amplero,"['difTrans', 'exponential', 'BallBerry']",142.59846144938,-27.071724687172026,0.5863256144079703,126.40786390824738,-16.11841691538189,0.7587003046875946
5,Amplero,"['difTrans', 'exponential', 'Jarvis']",151.2680326104169,-27.972089371330295,0.5665456071001673,123.74806386526743,-15.364186527215196,0.9036703758302601
6,Amplero,"['simplExp', 'logBelowCanopy', 'BallBerry']",143.02802133706703,-27.111688901444353,0.5628196899349049,126.19881627189076,-16.19416154792895,0.8413705372339348
7,Amplero,"['difTrans', 'logBelowCanopy', 'BallBerry']",142.5984338750412,-27.0718497249956,0.9029160758627216,126.40765205500975,-16.118354879061403,0.7592171859757082
8,Blodgett,"['difTrans', 'logBelowCanopy', 'BallBerry']",148.59835205623335,-26.839952486752356,0.6677247539086072,270.65189754719603,-38.731575673815826,0.78427071861862
9,Blodgett,"['difTrans', 'exponential', 'BallBerry']",149.27985997245972,-27.090672105298907,0.6968392451360721,270.4058625955895,-38.69567634873211,0.8135436929320091
10,Blodgett,"['simplExp', 'logBelowCanopy', 'BallBerry']",148.45486912065473,-26.943736515733207,0.8233046576358839,268.972269368613,-38.29052716161813,0.7607414970204568
11,Blodgett,"['difTrans', 'logBelowCanopy', 'Jarvis']",166.75797734782978,-29.80512494987997,0.8076821412362143,260.9618708843751,-36.05805352079052,0.6878929192510872
12,Blodgett,"['simplExp', 'logBelowCanopy', 'Jarvis']",166.13168301411855,-29.785171574788194,0.8980664064724809,259.75353294438884,-35.73918977679223,0.7029257932809967
13,Blodgett,"['simplExp', 'exponential', 'BallBerry']",149.22851348190568,-27.211129716333236,0.6334184701150042,268.66081763886166,-38.25345973680115,0.732745883170484
14,Blodgett,"['difTrans', 'exponential', 'Jarvis']",167.34607875269518,-30.000456326156513,0.8975627072644967,260.91104890673256,-36.0659825025872,0.7281513516423124
15,Blodgett,"['simplExp', 'exponential', 'Jarvis']",166.85153158520944,-30.006283883512342,0.9583640298065492,259.6661027189315,-35.75481413007389,0.7609945476749538
16,ElSaler,"['difTrans', 'exponential', 'Jarvis']",145.44230301618109,-27.666197791688308,1.2070893472772335,344.61098128321134,-45.356732574433714,0.6773056393512364
17,ElSaler,"['simplExp', 'exponential', 'Jarvis']",145.33428168543946,-27.6967133993164,1.1196033759873776,344.07497568198147,-45.21609946934155,0.6280745081584965
18,ElSaler,"['difTrans', 'exponential', 'BallBerry']",131.4394926071244,-26.07643090751579,0.9930658865792045,346.79245602537196,-46.88056659739328,0.65233917373211
19,ElSaler,"['difTrans', 'logBelowCanopy', 'Jarvis']",144.86913644080383,-27.537786648960914,1.0883080679589734,342.5491336071372,-45.24644476551942,0.7442388316770026
20,ElSaler,"['difTrans', 'logBelowCanopy', 'BallBerry']",129.38233898169798,-25.459906815857398,1.0641757671891194,346.0562726990018,-47.240831076761765,0.7993490218205028
21,ElSaler,"['simplExp', 'logBelowCanopy', 'Jarvis']",144.62020066008554,-27.575777504062756,1.0432531740867834,342.16848367713663,-45.10413867838241,0.7167017829054089
22,ElSaler,"['simplExp', 'exponential', 'BallBerry']",131.69884741577206,-26.23361347602697,1.0683736928422602,345.9237334980568,-46.59569756140147,0.7264753899109332
23,ElSaler,"['simplExp', 'logBelowCanopy', 'BallBerry']",129.5934583945447,-25.66448110696021,1.0269045362117715,345.26494049313726,-46.92282792318253,0.731331916640614
24,ElSaler2,"['difTrans', 'exponential', 'Jarvis']",142.70761157023716,-30.065394778785354,0.47418125512526926,181.41792577774245,-26.273105478266015,0.7941485748058785
25,ElSaler2,"['simplExp', 'exponential', 'Jarvis']",142.70761157023716,-30.065394778785354,0.4831974783920423,181.41792577774245,-26.273105478266015,0.8362367022658063
26,ElSaler2,"['difTrans', 'logBelowCanopy', 'Jarvis']",142.70761157023716,-30.065394778785354,0.4772261730844922,181.41792577774245,-26.273105478266015,0.8725924200083832
27,ElSaler2,"['difTrans', 'exponential', 'BallBerry']",142.70761157023716,-30.065394778785354,0.36064690287797174,181.41792577774245,-26.273105478266015,0.7827289073166928
28,ElSaler2,"['simplExp', 'logBelowCanopy', 'BallBerry']",142.70761157023716,-30.065394778785354,0.5069972262391507,181.41792577774245,-26.273105478266015,0.7962292431065157
29,ElSaler2,"['simplExp', 'exponential', 'BallBerry']",142.70761157023716,-30.065394778785354,0.433720550901749,181.41792577774245,-26.273105478266015,0.8801151760473158
30,ElSaler2,"['simplExp', 'logBelowCanopy', 'Jarvis']",142.70761157023716,-30.065394778785354,0.41739814019131916,181.41792577774245,-26.273105478266015,0.7802844511292781
31,ElSaler2,"['difTrans', 'logBelowCanopy', 'BallBerry']",142.70761157023716,-30.065394778785354,0.37714325977876917,181.41792577774245,-26.273105478266015,0.7469766610251847
32,FortPeck,"['difTrans', 'logBelowCanopy', 'BallBerry']",123.4945481092921,-17.379640350217727,0.6361943359814095,136.32980769789287,-14.286679401879745,0.3608315415831215
33,FortPeck,"['simplExp', 'logBelowCanopy', 'BallBerry']",123.65378555529803,-17.40765467054693,0.6451683515184538,136.14979953305797,-14.329314486317202,0.48432459986683807
34,FortPeck,"['difTrans', 'exponential', 'Jarvis']",129.59925011201378,-17.726257694889245,0.3312428453968335,135.33364809311672,-13.961278471431513,0.36755561551278165
35,FortPeck,"['difTrans', 'exponential', 'BallBerry']",123.4945481092921,-17.379640350217727,0.4779210740124483,136.32980769789287,-14.286679401879745,0.3350160518701176
36,FortPeck,"['difTrans', 'logBelowCanopy', 'Jarvis']",129.59925011201378,-17.726257694889245,0.5377267628168507,135.33364809311672,-13.961278471431513,0.5462201839495212
37,FortPeck,"['simplExp', 'logBelowCanopy', 'Jarvis']",129.6378600940398,-17.734051801274752,0.5258186264290258,135.2123719779538,-14.022708900922117,0.5368399516288315
38,FortPeck,"['simplExp', 'exponential', 'Jarvis']",129.6378600940398,-17.734051801274752,0.3845488309562532,135.2123719779538,-14.022708900922117,0.37616408039410026
39,FortPeck,"['simplExp', 'exponential', 'BallBerry']",123.65808775058117,-17.402032634583964,0.6303371453563515,136.14767638348982,-14.331322161865364,0.6041061785459773
40,Hesse,"['simplExp', 'exponential', 'Jarvis']",142.2488128903053,-24.215332052090744,0.3463282480816039,160.33610095101173,-9.272572874867189,0.4842279315221972
41,Hesse,"['difTrans', 'exponential', 'Jarvis']",142.27233366077851,-24.065061607381864,0.5090274952847236,160.9695654554949,-9.530343919863203,0.48856196883263076
42,Hesse,"['difTrans', 'logBelowCanopy', 'BallBerry']",133.96106534932474,-21.644846759693397,0.3918393123307822,160.21215697964095,-11.899016898657509,0.45117450638052253
43,Hesse,"['simplExp', 'logBelowCanopy', 'BallBerry']",133.9799486130192,-21.849434175007577,0.5332419684039822,159.42423434838483,-11.533429428179872,0.42446343845390666
44,Hesse,"['simplExp', 'exponential', 'BallBerry']",137.12757348557096,-23.425454816430797,0.5107438454127304,163.82202838433628,-10.015978976664641,0.5067126673940189
45,Hesse,"['simplExp', 'logBelowCanopy', 'Jarvis']",139.48356589524775,-22.731577694265514,0.5150997905947265,155.56939070242447,-10.71925492977667,0.43807564046427266
46,Hesse,"['difTrans', 'logBelowCanopy', 'Jarvis']",139.53091271948074,-22.56951814139495,0.48541537385558237,156.19025556559166,-11.041423784547623,0.5202213984721508
47,Hesse,"['difTrans', 'exponential', 'BallBerry']",136.93770184754408,-23.21978388174076,0.4760209804040363,164.53971483374534,-10.31486615708155,0.5019499204187311
48,Hyytiala,"['difTrans', 'exponential', 'Jarvis']",131.6254081215771,-19.460929636476568,1.107742297073566,126.5484619044983,-7.058772069655702,0.6594718271290296
49,Hyytiala,"['difTrans', 'logBelowCanopy', 'BallBerry']",108.30846338183426,-16.167548667581094,0.9824987310010725,145.3134882225609,-9.828104767698827,0.5696868753057026
50,Hyytiala,"['simplExp', 'logBelowCanopy', 'BallBerry']",108.32610345131394,-16.265655132979756,1.0022828621724658,144.14775267838843,-9.514601465227193,0.5814589248919052
51,Hyytiala,"['simplExp', 'exponential', 'Jarvis']",130.73944044163858,-19.44539719225336,0.9039012665483062,126.0007893729459,-6.86025098045382,0.6536112005300072
52,Hyytiala,"['difTrans', 'exponential', 'BallBerry']",108.42310481062366,-16.26356699653138,0.9036523196723992,145.12888659692575,-9.921774610398716,0.5841270860859319
53,Hyytiala,"['difTrans', 'logBelowCanopy', 'Jarvis']",131.10109399482852,-19.33897158449338,0.9113638209210159,126.84829373625122,-6.996963136031208,0.5652226699894772
54,Hyytiala,"['simplExp', 'logBelowCanopy', 'Jarvis']",130.16264547896992,-19.30462802578844,0.9380730208233137,126.47254250266857,-6.8031916893999025,0.6409194020447792
55,Hyytiala,"['simplExp', 'exponential', 'BallBerry']",108.45849545492483,-16.387346758874397,0.9347332740411687,143.8656319780358,-9.590014127994074,0.5874336543462607
56,Loobos,"['simplExp', 'logBelowCanopy', 'BallBerry']",143.54247073292956,-25.4877158927766,0.5552242866630467,174.64435701815157,-13.347856361325872,0.25018171556097313
57,Loobos,"['difTrans', 'logBelowCanopy', 'BallBerry']",143.47665788855522,-25.394413088665388,0.5535000076132075,175.6963126503432,-13.58414313475039,0.25084313603370106
58,Loobos,"['difTrans', 'exponential', 'Jarvis']",164.62592004625742,-28.561483315473627,0.6726262000838067,159.3694534257821,-10.890145552488104,0.41762219640272424
59,Loobos,"['difTrans', 'exponential', 'BallBerry']",143.77981985359298,-25.441762211692296,0.5457936744595275,175.49288657221425,-13.69907621445941,0.25339437066647474
60,Loobos,"['difTrans', 'logBelowCanopy', 'Jarvis']",164.418478179952,-28.548300786105898,0.605264588794254,159.37205294431422,-10.742692496377693,0.41721066395301704
61,Loobos,"['simplExp', 'logBelowCanopy', 'Jarvis']",164.2412106579202,-28.57488525572714,0.6133902182964989,158.73375872717943,-10.573590377185198,0.3546215781967214
62,Loobos,"['simplExp', 'exponential', 'BallBerry']",143.87978182794237,-25.529686782361573,0.6759016080103435,174.3907098234096,-13.45175139426515,0.24554913780995588
63,Loobos,"['simplExp', 'exponential', 'Jarvis']",164.47620751581707,-28.581942940291082,0.554580403228048,158.7066419752231,-10.714449295297038,0.4174924062158042
64,Mopane,"['difTrans', 'logBelowCanopy', 'BallBerry']",116.60959287213204,-16.367001595927025,0.8963768135876177,283.0259704074622,-49.5124320900017,0.560375232568225
65,Mopane,"['simplExp', 'logBelowCanopy', 'BallBerry']",116.6614154676655,-16.386248188046405,0.59200039804553,283.63106164155005,-49.71989388025239,0.5123582034950993
66,Mopane,"['simplExp', 'exponential', 'BallBerry']",117.18320641413509,-16.452559433091718,1.0411380755327304,305.04419988260304,-52.34201923034953,0.6323462533023649
67,Mopane,"['simplExp', 'logBelowCanopy', 'Jarvis']",118.78749201869105,-16.386879648716825,0.6674907499954351,283.6158897948111,-49.71344059221575,0.5447371145673594
68,Mopane,"['simplExp', 'exponential', 'Jarvis']",119.32241233687432,-16.470598673374198,0.9172016777296905,305.0016116872851,-52.33196700728998,0.6872207959402948
69,Mopane,"['difTrans', 'exponential', 'Jarvis']",119.22578091783174,-16.46922802604293,0.7368898667500235,304.9017245053971,-52.2618877823258,0.6447136795337888
70,Mopane,"['difTrans', 'logBelowCanopy', 'Jarvis']",118.66129063715152,-16.392128540708498,0.6891949479850202,282.92737879012526,-49.49231090399875,0.5125106866082965
71,Mopane,"['difTrans', 'exponential', 'BallBerry']",117.14916962439177,-16.44029504383868,0.9743512298499567,304.9394326398597,-52.27648676466448,0.6347498148726233
72,Sylvania,"['simplExp', 'exponential', 'Jarvis']",137.8210140976866,-21.91254461802841,0.6861874573341379,164.08857405064856,-15.300137007665024,0.9258386556556287
73,Sylvania,"['simplExp', 'logBelowCanopy', 'Jarvis']",135.05949408263342,-21.21695848804244,0.692715418395545,165.0173044375858,-15.374134727359678,0.6830906369517543
74,Sylvania,"['simplExp', 'exponential', 'BallBerry']",131.3379637035068,-20.763584292877866,0.6690218971561039,169.9985472529104,-16.3192132032671,0.8496662146406775
75,Sylvania,"['difTrans', 'exponential', 'BallBerry']",130.94139873615242,-20.450764119739773,0.6575034503703991,171.62736261195926,-16.793569885753083,0.9355729112184683
76,Sylvania,"['difTrans', 'exponential', 'Jarvis']",137.68190154423286,-21.680019954758105,0.6537986447995052,165.32228649197606,-15.69735418620216,1.0227523018012183
77,Sylvania,"['difTrans', 'logBelowCanopy', 'Jarvis']",135.37481400871934,-21.0768373033842,0.7580192414010575,165.84862787437194,-15.673523282968981,0.7116629479228179
78,Sylvania,"['difTrans', 'logBelowCanopy', 'BallBerry']",128.94952445959203,-19.90047500749962,0.6323680365582998,171.88737384390546,-16.72322079857892,0.7755408043851344
79,Sylvania,"['simplExp', 'logBelowCanopy', 'BallBerry']",129.27683918557966,-20.158618318359615,0.7971647444853115,170.49612887532035,-16.315990172376008,0.74631597067086
